1.0,0.8405,0.6902,0.7933,0.8477,0.6005,0.39,0.6708,0.5335,0.4226,0.3443,0.2515,0.8204,0.5766,0.7618,0.5673,0.565,
0.8405,1.0,0.5387,0.8172,0.7751,0.5273,0.3003,0.6249,0.457,0.2444,0.3076,0.3009,0.9347,0.4893,0.9065,0.465,0.4634,
0.6902,0.5387,1.0,0.7342,0.6345,0.8757,0.5003,0.7124,0.5978,0.5252,0.2893,0.2789,0.4603,0.8395,0.3506,0.8431,0.5613,
0.7933,0.8172,0.7342,1.0,0.8193,0.6482,0.5342,0.7554,0.6298,0.476,0.3731,0.3242,0.769,0.6495,0.6927,0.6467,0.6194,
0.8477,0.7751,0.6345,0.8193,1.0,0.5586,0.5697,0.7537,0.5261,0.4965,0.5697,0.2062,0.6759,0.5371,0.589,0.5537,0.7111,
0.6005,0.5273,0.8757,0.6482,0.5586,1.0,0.3555,0.7373,0.5992,0.3665,0.3136,0.2171,0.4317,0.9248,0.325,0.9175,0.4701,
0.39,0.3003,0.5003,0.5342,0.5697,0.3555,1.0,0.4615,0.4752,0.4053,0.3578,0.2753,0.231,0.3186,0.1351,0.363,0.6468,
0.6708,0.6249,0.7124,0.7554,0.7537,0.7373,0.4615,1.0,0.6254,0.6232,0.3855,0.3282,0.5896,0.7701,0.4718,0.7876,0.7425,
0.5335,0.457,0.5978,0.6298,0.5261,0.5992,0.4752,0.6254,1.0,0.412,0.3804,0.3447,0.446,0.561,0.3474,0.5837,0.6442,
0.4226,0.2444,0.5252,0.476,0.4965,0.3665,0.4053,0.6232,0.412,1.0,0.3961,0.5576,0.2146,0.4014,0.1036,0.4494,0.6969,
0.3443,0.3076,0.2893,0.3731,0.5697,0.3136,0.3578,0.3855,0.3804,0.3961,1.0,0.0408,0.2547,0.289,0.1729,0.3254,0.5755,
0.2515,0.3009,0.2789,0.3242,0.2062,0.2171,0.2753,0.3282,0.3447,0.5576,0.0408,1.0,0.2762,0.2771,0.2075,0.3044,0.4996,
0.8204,0.9347,0.4603,0.769,0.6759,0.4317,0.231,0.5896,0.446,0.2146,0.2547,0.2762,1.0,0.4667,0.9855,0.434,0.4159,
0.5766,0.4893,0.8395,0.6495,0.5371,0.9248,0.3186,0.7701,0.561,0.4014,0.289,0.2771,0.4667,1.0,0.347,0.9955,0.5393,
0.7618,0.9065,0.3506,0.6927,0.589,0.325,0.1351,0.4718,0.3474,0.1036,0.1729,0.2075,0.9855,0.347,1.0,0.3035,0.2684,
0.5673,0.465,0.8431,0.6467,0.5537,0.9175,0.363,0.7876,0.5837,0.4494,0.3254,0.3044,0.434,0.9955,0.3035,1.0,0.6028,
0.565,0.4634,0.5613,0.6194,0.7111,0.4701,0.6468,0.7425,0.6442,0.6969,0.5755,0.4996,0.4159,0.5393,0.2684,0.6028,1.0,
