ID:1 rate:1;16;2;14;3;30;4;2;5;16;6;2;7;4;8;5;9;2;10;10;11;4;12;12;13;9;14;10;15;2;16;10;17;9;18;6;19;1;20;2;21;7;22;3;23;2;24;7;25;4;26;7;27;22;28;4;29;10;30;0;51;1;52;1;53;1;54;1;55;1;56;1;57;1;58;1;59;1;60;1;61;1;62;1;63;1;64;1;65;1;66;1;67;1;68;1;69;1;70;1;71;1;72;1
ID:2 rate:1;25;2;10;3;4;4;4;5;5;6;15;7;4;8;8;9;-2;10;5;11;5;12;0;13;6;14;6;15;7;16;2;17;11;18;1;19;5;20;2;21;6;22;8;23;14;24;12;25;1;26;7;27;2;28;2;29;12;30;12;51;1;52;1;53;1;54;1;55;1;56;1;57;1;58;1;59;1;60;1;61;1;62;1;63;1;64;1;65;1;66;1;67;1;68;1;69;1;70;1;71;1;72;1
ID:3 rate:1;25;2;14;3;10;4;-2;5;11;6;2;7;12;8;10;9;4;10;8;11;2;12;3;13;0;14;10;15;0;16;15;17;6;18;8;19;-1;20;10;21;7;22;14;23;3;24;14;25;13;26;10;27;4;28;4;29;2;30;2;51;1;52;1;53;1;54;1;55;1;56;1;57;1;58;1;59;1;60;1;61;1;62;1;63;1;64;1;65;1;66;1;67;1;68;1;69;1;70;1;71;1;72;1
ID:4 rate:1;27;2;2;3;8;4;2;5;4;6;6;7;11;8;4;9;16;10;0;11;10;12;9;13;8;14;5;15;1;16;10;17;9;18;9;19;4;20;5;21;7;22;15;23;12;24;5;25;9;26;9;27;5;28;8;29;1;30;17;51;1;52;1;53;1;54;1;55;1;56;1;57;1;58;1;59;1;60;1;61;1;62;1;63;1;64;1;65;1;66;1;67;1;68;1;69;1;70;1;71;1;72;1
ID:5 rate:1;11;2;10;3;21;4;10;5;9;6;9;7;4;8;9;9;7;10;6;11;4;12;11;13;5;14;2;15;9;16;8;17;5;18;3;19;4;20;1;21;3;22;2;23;8;24;8;25;2;26;5;27;11;28;6;29;2;30;9;51;1;52;1;53;1;54;1;55;1;56;1;57;1;58;1;59;1;60;1;61;1;62;1;63;1;64;1;65;1;66;1;67;1;68;1;69;1;70;1;71;1;72;1
ID:6 rate:1;19;2;9;3;7;4;4;5;8;6;10;7;4;8;8;9;1;10;13;11;5;12;1;13;-2;14;9;15;4;16;7;17;4;18;2;19;4;20;5;21;17;22;2;23;7;24;4;25;14;26;11;27;1;28;5;29;15;30;9;51;1;52;1;53;1;54;1;55;1;56;1;57;1;58;1;59;1;60;1;61;1;62;1;63;1;64;1;65;1;66;1;67;1;68;1;69;1;70;1;71;1;72;1
ID:7 rate:1;1;2;7;3;1;4;1;5;3;6;2;7;4;8;1;9;11;10;4;11;1;12;1;13;-2;14;1;15;1;16;3;17;1;18;1;19;1;20;1;21;3;22;4;23;5;24;1;25;3;26;1;27;1;28;-2;29;1;30;2;51;1;52;1;53;1;54;1;55;1;56;1;57;1;58;1;59;1;60;1;61;1;62;1;63;1;64;1;65;1;66;1;67;1;68;1;69;1;70;1;71;1;72;1
ID:8 rate:1;3;2;1;3;4;4;1;5;1;6;1;7;1;8;1;9;3;10;1;11;1;12;1;13;1;14;1;15;2;16;1;17;1;18;1;19;1;20;1;21;1;22;-2;23;1;24;3;25;1;26;5;27;1;28;3;29;1;30;3;51;1;52;1;53;1;54;1;55;1;56;1;57;1;58;1;59;1;60;1;61;1;62;1;63;1;64;1;65;1;66;1;67;1;68;1;69;1;70;1;71;1;72;1
ID:9 rate:1;1;2;3;3;4;4;1;5;1;6;3;7;7;8;1;9;2;10;1;11;3;12;1;13;4;14;1;15;1;16;-2;17;1;18;1;19;3;20;1;21;5;22;1;23;-2;24;-2;25;9;26;4;27;1;28;1;29;1;30;1;51;1;52;1;53;1;54;1;55;1;56;1;57;1;58;1;59;1;60;1;61;1;62;1;63;1;64;1;65;1;66;1;67;1;68;1;69;1;70;1;71;1;72;1
ID:10 rate:1;-2;2;-2;3;0;4;1;5;1;6;1;7;1;8;1;9;3;10;4;11;1;12;5;13;1;14;4;15;1;16;1;17;2;18;6;19;1;20;3;21;1;22;2;23;-2;24;6;25;1;26;5;27;1;28;1;29;1;30;1;51;1;52;1;53;1;54;1;55;1;56;1;57;1;58;1;59;1;60;1;61;1;62;1;63;1;64;1;65;1;66;1;67;1;68;1;69;1;70;1;71;1;72;1
ID:11 rate:1;1;2;-2;3;2;4;13;5;1;6;3;7;1;8;5;9;1;10;3;11;1;12;3;13;-2;14;4;15;1;16;1;17;3;18;-2;19;1;20;1;21;1;22;1;23;1;24;2;25;6;26;-2;27;4;28;1;29;1;30;4;51;1;52;1;53;1;54;1;55;1;56;1;57;1;58;1;59;1;60;1;61;1;62;1;63;1;64;1;65;1;66;1;67;1;68;1;69;1;70;1;71;1;72;1
ID:12 rate:1;1;2;1;3;2;4;-2;5;-4;6;1;7;1;8;2;9;1;10;1;11;3;12;1;13;1;14;2;15;1;16;-2;17;3;18;8;19;1;20;3;21;0;22;1;23;1;24;1;25;0;26;1;27;-2;28;-2;29;4;30;-2;51;1;52;1;53;1;54;1;55;1;56;1;57;1;58;1;59;1;60;1;61;1;62;1;63;1;64;1;65;1;66;1;67;1;68;1;69;1;70;1;71;1;72;1
ID:13 rate:1;1;2;1;3;26;4;1;5;1;6;1;7;1;8;1;9;1;10;1;11;1;12;1;13;1;14;1;15;1;16;1;17;1;18;1;19;1;20;1;21;1;22;1;23;1;24;1;25;1;26;1;27;1;28;1;29;1;30;1;51;1;52;1;53;1;54;1;55;1;56;1;57;1;58;1;59;1;60;1;61;1;62;1;63;1;64;1;65;1;66;1;67;1;68;1;69;1;70;1;71;1;72;1
